name	id	gender	language	variations	meaning
Massey	/m/05d6h_g	Male	Hebrew Language,Greek Language	/m/05d6hxd,/m/05d6hyx,/m/05d969d,/m/05d6h_z,/m/05d6jvj,/m/05d6jw6,/m/05d6jb1,/m/05d968k,/m/05d6hxn,/m/05d966v,/m/05d6jwz,/m/05d6jvs,/m/05d6hz4,/m/05d6jwj,/m/05d6hxx,/m/05d6h_6,/m/05d967w,/m/05d6hzd,/m/05d966h,/m/05d6j07,/m/05d6jxj,/m/05d6hx4,/m/05d6h72,/m/05d967j,/m/05d6hzt,/m/05d6jwc,/m/05d968x,/m/05d9697,/m/05d6hyd,/m/05d6jw1,/m/05d6hy4,/m/05d6hyn,/m/05d6jwt,/m/05d9675,/m/05d6h_b,/m/05d6jx7,/m/05d6h_2,/m/05d6hzj,/m/05d9686,/m/05d6j9s	
Read	/m/05d81bl	Male	Old English language	/m/05d82xf,/m/05d82xq,/m/05d82x4,/m/05d82v_	
Merlin	/m/05d6smm	Male	Welsh Language,Old English language	/m/05d6tbd,/m/05d6rz4,/m/05d6rz0,/m/05d6ryr,/m/05d6rym,/m/05d6ryj,/m/05d6ry7	
Ran	/m/05d80z4	Male	Old English language	/m/05d81dd,/m/05d819n,/m/05d81bf,/m/05d81b3,/m/05d819t,/m/05d81d7,/m/05d819z,/m/05d8171,/m/05d80z1,/m/05d81b8,/m/05d811c,/m/05d81zj,/m/05d7_j_,/m/05d819h	
Mil	/m/05d6x6g	Female	Old English language	/m/05d6yf_,/m/05d6x6c,/m/05d6yfp,/m/05d6ygx,/m/05d6yg4,/m/05d6yg9,/m/05d6ygj,/m/05d6ygr,/m/05d6yh1,/m/05d6yfv	
Prisha	/m/05d7xxt	Female	Hindi Language		
Meranda	/m/05d6yb5	Female	Latin Language	/m/05d6ybp,/m/05d6y9y,/m/05d6y9t,/m/05d6yb1,/m/05d6y9p	
Mordechai	/m/05d6zx0	Male	Hebrew Language	/m/05d6ysv,/m/05d6zws,/m/05d6zwj,/m/05d6ysz	
Poppy	/m/05d7wwk	Female	Old English language		
Nataniel	/m/05d74c1	Male	Hebrew Language	/m/05d74bf,/m/05d74bt,/m/05d74by,/m/05d74bp,/m/05d74b9,/m/05d75kv,/m/05d74bk	
Pablo	/m/05d7nqs	Male	Latin Language	/m/05d7nqp,/m/05d7p0w,/m/05d7ngw,/m/05d7p_d,/m/05d7mvm,/m/05d7pyd,/m/05d7py2,/m/05d7n1p,/m/05d7pyk,/m/05d7p2z,/m/05d7mzz,/m/05d7py7,/m/05d7nxd,/m/05d7pzd	
Ramiro	/m/05d7_w9	Male	Basque Language		
Nirel	/m/05d7f5l	Male	Hebrew Language	/m/05d7f79,/m/05d7f61,/m/05d7f5g,/m/05d7f5q,/m/05d7f6m	
Padarn	/m/05d7np7	Male	Breton	/m/05d7nnr,/m/05d7nn_	
Trish	/m/05d7mc6	Female	Latin Language	/m/05d7mbf,/m/05d7mbr,/m/05d7mbj,/m/05d7mb3,/m/05d7mc2,/m/05d7mbm,/m/05d7mbb,/m/05d7mb7,/m/0gx8pkk,/m/05d7myh,/m/05d7mqw,/m/05d7mbw,/m/05d7mb_	
Aziz	/m/0546vq				
Anna	/m/03mcznb	Female	Hebrew Language,Latin Language	/m/05d2bm9,/m/05d2f0m,/m/05d5fkq,/m/05d2mjc,/m/05d2d3h,/m/05d2bpk,/m/05d2f9m,/m/05d2cgh,/m/05d2d69,/m/05d2ds4,/m/05d2mhx,/m/05d2bnt,/m/05d2dtk,/m/05d2fck,/m/05d2bmp,/m/05d2dyp,/m/05d5fjr,/m/05d2fj6,/m/05d2mhl,/m/05d2djb,/m/05d2g6w,/m/05d2dms,/m/05d5fk7,/m/05d2cfb,/m/05d2dxf,/m/05d2dkb,/m/05d2dxs,/m/05d2dvm,/m/05d5fjx,/m/05d2bn5,/m/05d2dsw,/m/05d2bm3,/m/05d2dlg	
Adil	/m/043r2h6				
Pierre-Simon	/m/0404wc1				
Karin	/m/03x_dh1	Female	Greek Language	/m/05d50k0,/m/05d51gj,/m/05d50tj,/m/05d513n,/m/05d513h,/m/05d4_yw,/m/05d50w9,/m/05d4_w4,/m/05d51k1,/m/05d50t_,/m/05d50s_,/m/05d4_gr,/m/05d50kb,/m/05d500f,/m/05d50kh,/m/05d50jy,/m/05d50t4,/m/05d51qh,/m/05d502p,/m/05d50k5,/m/05d50md,/m/05d4_pz,/m/05d4_dc,/m/05d4_rz,/m/05d50tp,/m/05d50tv	
Hélder	/m/03nrc8k				
Valeska	/m/05d9djl	Female	Polish Language		
Mayr	/m/05d6pm3	Male	Latin Language,Hebrew Language,German Language	/m/05d6q9b,/m/05d6q2w,/m/05d6qb_,/m/05d6pm0,/m/05d6qb7,/m/05d6q9h,/m/05d6q9n	
Mark	/m/05d64c6	Male	Latin Language	/m/05d6548,/m/05d6556,/m/05d655c,/m/05d655_,/m/05d6551,/m/05d655j,/m/05d655p,/m/05d654x,/m/05d65gy,/m/05d64ff,/m/05d64xd,/m/05d654l,/m/05d654r,/m/05d64m_,/m/05d64xn,/m/05d654f,/m/05d6543,/m/05d653z,/m/05d6564,/m/05d64c3,/m/05d64xh,/m/05d64xt,/m/05d655v	
Marijan	/m/05d637h	Male	Slovenian language	/m/05d637m	
Sujata	/m/05d8z77	Female	Hindi Language		
Tish	/m/05d5fnm	Female	Latin Language	/m/05d5gcy,/m/05d7mww,/m/05d7n6g,/m/05d5gf2,/m/05d7n01,/m/05d5gds,/m/05d5hrq,/m/05d7n6m,/m/05d5ggk,/m/05d5fnj,/m/05d5gdg,/m/05d5g84,/m/05d7n69,/m/05d7n5_,/m/05d5gd9,/m/05d7mbw,/m/05d7n6y,/m/05d7n6s,/m/05d7my0,/m/05d5gdy,/m/05d5gd4,/m/05d7mqb,/m/05d5gdm,/m/05d7n64	
Lenin	/m/05d5f9r	Male	Gaelic	/m/05d5f9h	
Yanis	/m/05d9s_0	Male	Hebrew Language	/m/05d9s_4	
Leopolda	/m/05d5f0x	Female	Old High German	/m/05d5f0n	
Roy	/m/05d5dzp	Male	Old French,Gaelic	/m/05d5dzt,/m/05d5d_j,/m/05d8h71,/m/05d8g_9,/m/05d8h7c,/m/05d5d_3,/m/05d8h76	
Leonidas	/m/05d5dv6	Male	Greek Language	/m/05d5dv2,/m/05d5fvj	
Lillah	/m/05d5cl3	Female	Arabic Language	/m/05d5ck_,/m/05d5d50,/m/05d5cnd,/m/05d5cns,/m/05d5d3r,/m/05d5dd6,/m/05d5d30	
Mingmey	/m/05d6xdh	Female	Chinese language	/m/05d6xdm	
Lorette	/m/05d57k3	Female	Latin Language,Old High German	/m/05d57sn,/m/05d57k0,/m/05d5hsq,/m/05d59ch,/m/05d586q,/m/05d59hg,/m/05d5959,/m/05d595m,/m/05d59hy,/m/05d59vc,/m/05d5hhj,/m/05d57z2,/m/05d5956,/m/05d58qk,/m/05d58tf,/m/05d595s,/m/05d5b1t,/m/05d59hs,/m/05d585q,/m/05d5hnl,/m/05d58k9,/m/05d595g,/m/05d59hm,/m/05d59gv,/m/05d58x4,/m/05d58d2,/m/05d582h,/m/05d59lh,/m/05d58yw	
Lailie	/m/05d57fs	Female	Hebrew Language		
Mohit	/m/05d6yd5	Male	Hindi Language		
Kinsey	/m/05d55xr	Male	Old English language		
Kezzy	/m/05d540z	Female	Hebrew Language	/m/05d55b_,/m/05d5549,/m/05d5537,/m/05d555k,/m/05d55bj,/m/05d55cv,/m/05d55bp,/m/05d55bv	
Kiera	/m/05d53gj	Female		/m/05d53g8	
Kala	/m/05d4zfc	Female	Hindi Language		
Townsend	/m/05d9bjw	Male	Old English language	/m/05d9bj_,/m/05d9bkd,/m/05d9bkx	
Kaelyn	/m/05d4z1h	Female	Old English language		
Kaie	/m/05d4y5z	Female			
Naiad	/m/05d70df	Female	Greek Language	/m/05d70mx,/m/05d70ml,/m/05d70n1,/m/05d70db,/m/05d70mr	
Jocosa	/m/05d4x_6	Female	Latin Language		
Jedidiah	/m/05d4tdg	Male	Hebrew Language		
Namrata	/m/05d71g1	Female	Hindi Language		
Nest	/m/05d76y7	Male	Greek Language	/m/05d7763,/m/05d76y4	
Jaydee	/m/05d4rf4	Female		/m/05d4rfr,/m/05d4rfc,/m/05d4rf0	
Nyky	/m/05d7b8c	Female	Greek Language	/m/05d7dcs,/m/05d7drg,/m/05d7bvx,/m/05d7d3b,/m/05d7dkb,/m/05d7ctm,/m/05d7c55,/m/05d7dkz,/m/05d7b88,/m/05d7cr6,/m/05d7dl8,/m/05d7db4,/m/05d7dl3,/m/05d7dk5,/m/05d7dkh,/m/05d7dkn,/m/05d7c_8,/m/05d7dlf,/m/05d7cp6,/m/05d7dkt,/m/05d7bmg,/m/05d7cy5	
Irv	/m/05d4r47	Male	Old English language	/m/05d4r4m,/m/05d4r43	
Taddy	/m/05d93m9	Male	Latin Language	/m/05d949_,/m/05d93nr,/m/05d93n9,/m/05d949v,/m/05d937v,/m/05d94bc,/m/05d93n2,/m/05d937z,/m/05d93mv,/m/05d94b4,/m/05d9381,/m/05d93mm,/m/05d93md,/m/05d94bj	
Ianthe	/m/05d4q4j	Female	Greek Language		
Henry	/m/05d4p_b	Male	Old High German	/m/05d4p__,/m/0gxmtw3,/m/05d4p_g	
Xerxes	/m/05d9t76	Male	Persian Language		
Hadaseh	/m/05d4nnc	Female	Hebrew Language	/m/05d4nn1,/m/05d4nn8	
Georgeena	/m/05d4hrc	Female	Greek Language	/m/05d4k77,/m/05d4kbw,/m/05d4k82,/m/05d4hvw,/m/05d4j_z,/m/05d4k8h,/m/05d4j8q,/m/05d4k6k,/m/05d4jbt,/m/05d4k5n,/m/05d4k1c,/m/05d4jh_,/m/05d4jd3,/m/05d4jzt,/m/05d4hr8,/m/05d4htc,/m/05d4k3n,/m/05d4k5f,/m/05d4k60	
Garyson	/m/05d4bgm	Male	Old English language	/m/05d4bgj,/m/05d4c6h	
Franchesca	/m/05d48cd	Female	Latin Language,Old French	/m/05d496x,/m/05d48cr,/m/05d494r,/m/05d4905,/m/05d4959,/m/05d48c8,/m/05d48_3,/m/05d4960	
Yovela	/m/05d9tvg	Female	Hebrew Language		
Sunnee	/m/05d8zgr	Male	English Language	/m/05d8zqc,/m/05d8zgn,/m/05d8zq6,/m/05d8zqj	
Winton	/m/05d9n3x	Male	Old English language	/m/05d9ryh,/m/05d9s88,/m/05d9p_2,/m/05d9q6t,/m/05d9rmy,/m/05d9p06,/m/05d9qns,/m/05d9mly,/m/05d9qtt,/m/05d9pw8,/m/05d9rs7,/m/05d9n3t,/m/05d9rr8,/m/05d9qfm,/m/05d9ppj,/m/05d9rtf,/m/05d9rz4,/m/05d9rn2,/m/05d9qj8,/m/05d9rms,/m/05d9nmd,/m/05d9qpn,/m/05d9njd,/m/05d9ry5,/m/05d9qvr,/m/05d9p3h,/m/05d9qxr,/m/05d9qtn,/m/05d9q5p,/m/05d9ryb,/m/05d9phj,/m/05d9qxf,/m/05d9p6r,/m/05d9pv0,/m/05d9qxl,/m/05d9qxx,/m/05d9rqf,/m/05d9qvf,/m/05d9qvl,/m/05d9nbq,/m/05d9pc2,/m/05d9rpr,/m/05d9qv8,/m/05d9rn7	
Desmund	/m/05d42jb	Male	Old English language	/m/05d42k5,/m/05d42j2,/m/05d42j6	
Dunn	/m/05d3vyp	Male		/m/05d3vys	
Wayne	/m/05d3thh	Male	Old English language	/m/05d3tkz,/m/05d3w7m,/m/05d3w7s,/m/05d3tj7,/m/05d9k_w,/m/05d3tjv,/m/05d3w7g	
Niju	/m/05d7dt0	Female	Hindi Language	/m/05d7dss	
Noya	/m/05d7ggt	Female	Arabic Language		
Addolorata	/m/05d3sz4	Female	Latin Language	/m/05d3sz0,/m/05d3s_4,/m/05d3t0j,/m/05d3syx,/m/05d3szj	
Dionne	/m/05d3rp1	Female	Greek Language,Latin Language	/m/05d3s6d,/m/05d3ryn,/m/05d3rnz,/m/05d3rxx,/m/05d3ryb,/m/05d3ryh,/m/05d3rq6,/m/05d3ryt,/m/05d3sl8,/m/05d3sp6,/m/05d3sl0	
Damara	/m/05d3m9b	Female	Greek Language		
Cirano	/m/05d3l7x	Male	Greek Language	/m/05d3k__,/m/05d3lp2,/m/05d3l7s,/m/05d3l0d,/m/05d3l80	
Cynric	/m/05d3ktd	Male	Old English language		
Vitia	/m/05d9j7m	Female	Latin Language	/m/05d9j7w,/m/05d9j8c,/m/05d9j7h	
Cristal	/m/05d3k53	Female	Latin Language	/m/05d3kf9,/m/05d3kcm,/m/05d3kf0,/m/05d3kcx,/m/05d3kcb,/m/05d3kdg,/m/05d3k4v,/m/05d3kdr,/m/05d3kd5	
Odil	/m/05d7h4c	Male	French Language		
Kon	/m/05d3j5f	Male	Old High German	/m/05d3jfl,/m/05d3j52,/m/05d3j72,/m/05d3j4z,/m/05d3j4w,/m/05d3j5b,/m/05d3j56,/m/05d3jfr	
