thad,M
thaddeus,M
than,M,F
theo,M,F
theodora,F
theodore,M,F
theodosia,F
theophilus,M
theresa,F
thirza,F
thom,M
thomas,M,F
tia,F
tiff,F
tiffany,F
tiffy,F
tilda,F
tillie,F
tilly,F
tim,M,F
timmy,M,F
timo,M
timothy,M,F
tina,F
tine,M,F
tish,F
tisha,F
tobe,M,F
tobiah,M
tobias,M
toby,M,F
tom,M
tommy,M,F
toni,M,F
tonie,M,F
tony,M,F
topher,M
tori,M,F
toria,F
torie,F
torri,F
torrie,F
tory,M,F
tracey,M,F
tracie,M,F
tracy,M,F
trent,M
trenton,M
tricia,F
trina,F
trish,F
trisha,F
trix,F
trixie,F
trudy,F
tuck,M
tucker,M
tyrza,F
unice,F
ursula,F
val,M,F
valentina,F
valentine,M,F
valeri,F
valerie,F
vallie,F
van,M,F
vanessa,F
vanna,F
vannie,F
veda,M,F
vera,F
vergie,F
verna,M,F
vernon,M,F
veronica,F
vi,F
vic,M,F
vick,M
vicki,F
vickie,F
vicky,F
victor,M,F
victoria,F
vida,M,F
vin,M,F
vina,F
vince,M
vincent,M
vincenzo,M
vinnie,M,F
vinny,M,F
vinson,M
viola,F
violet,F
violetta,F
virgie,M,F
virginia,F
virgy,F
viv,F
vivian,F
von,M,F
vonnie,F
waldo,M
wallace,M
wallie,M,F
wally,M,F
walt,M
walter,M,F
wash,M
washington,M
wat,M
webb,M
webster,M
wen,F
wendy,F
wilber,M
wilbur,M
wilda,F
wilfred,M
wilhelmina,F
will,M,F
william,M,F
willie,M,F
willis,M
willy,M,F
wilma,F
wilson,M
win,M,F
winfield,M
winfred,M
winifred,M,F
winnie,M,F
winnifred,F
winny,M,F
wood,M
woodrow,M
woody,M
xander,M
yetta,F
zach,M
zachariah,M
zacharias,M
zachary,M
zak,M
zeb,M
zebedee,M
zechariah,M
zed,M
zedediah,M
zeke,M
ziggy,M
zolly,M
